Paper_ID,DOI,Material_Parent_ID,ML_Condition_ID,Observation_ID,Feature_Name,Recovered_Value,Units,Evidence_Type,Evidence_Location,Confidence,Recovery_Status
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,YS_MPa,510.0,MPa,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,UTS_MPa,1022.0,MPa,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Elongation_pct,110.0,%,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Initial_HCP_fraction,0,fraction,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Initial_Sigma3_TB_fraction,0.567,fraction,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Grain_size_um,34,um,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Grain_Size_Including_TB_as_HAB_um,23,um,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,FCC_lattice_a_XRD_A,3.629,A,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Effective_TRIP,1.0,binary,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Effective_TWIP,1.0,binary,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_C,P012_MC_C_77K,P012_OBS_C_77K_condition,Slip,1,binary,VERIFIED_WORKBOOK,Abstract; Sec.3.2 p.5; Sec.3.5 pp.13-17; Conclusions p.18,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_eps005,Effective_TWIP,0,binary,DIRECT_STAGE_OBSERVATION,Fig.5; p.7,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_eps005,Slip,1,binary,DIRECT_STAGE_OBSERVATION,Fig.5; p.7,High,VERIFIED
P012,10.1016/j.jallcom.2022.165108,P012_MAT_BASE,P012_MC_BASE_RT,P012_OBS_BASE_RT_eps005,Observed_Microstructure,Loosely knit dislocations/dislocation clusters; mechanical twins not observed,text,DIRECT_STAGE_OBSERVATION,Fig.5; p.7,High,VERIFIED
